        IDX   DRAMBwWrite   DRAMBwWriteCC    Isolation       
        263         28344            9574         2978
        264         28550            7856         2811
        265         30030            6135         2855
        266         46189            9139         2819
        267         26683           10250         2938
        268         28462           10399         3923
        269         32828            9700         2836
        270         39647           10037         2877
        271         33767           10281         2845
        272         29891           10171         2878
        273         32703            9409         3180
        274         35160           10918         2960
        275         39057            9068         2917
        276         28596            7031         2937
        277         33376           10054         2841
        278         35313           10206         2833
        279         33360            9276         3785
        280         30543            6518         2850
        281         30577           13073         2820
        282         27154           10608         3263
        283         29928           10349         2862
        284         39172            9193         2888
        285         32226            9024         2846
        286         42491           11768         3325
        287         32036           11529         2814
        288         32862            7313         3059
        289         39480            8336         2867
        290         30993            7310         2944
        291         48199            9231         2841
        292         33645            8853         2951
        293         32071            8365         2937
        294         27220            7220         2954
        295         30205            8399         2960
        296         33733            6759         2877
        297         32503            8832         3026
        298         34193            7521         2869
        299         27129            7373         2893
        300         31766            9619         3996
        301         31341            9972         2832
        302         37625            8997         3246
        303         44925            9883         2818
        304         36883           12475         2920
        305         30545            9235         2976
        306         33722            6848         2947
        307         54998            9068         2980
        308         30883            8093         2833
        309         35110            9795         2834
        310         31463           11003         3008
        311         49204           11308         2848
        312         26610            7700         2832
        313         34582            9896         2936
        314         30101           10166         2851
        315         35023            9621         2919
        316         31017            7919         2842
        317         34589            7821         3357
        318         31976            7795         2911
        319         26668            7372         2944
        320         34804            9987         2856
        321         27241           10533         3544
        322         34952            9205         2819
        323         32001            7912         2834
        324         36096           11077         2864
        325         31374           10082         3015
        326         35539           13499         3002
        327         32647           10087         2871
        328         39811            8590         2841
        329         37365            7320         2966
        330         26781            6691         3516
        331         28010            7284         2867
        332         29384            9980         2897
        333         37852            7777         2857
        334         26413            7905         2973
        335         30109            9877         2848
        336         26667           14864         3736
        337         29618           10079         2807
        338         33137            8123         2805
        339         31846            9007         2886
        340         30437            8541         2862
        341         31079            7861         2837
        342         33453            7407         2881
        343         47361            7300         2861
        344         30172            9875         2858
        345         30394            9695         2850
        346         32012            7573         2850
        347         38974            9155         3831
        348         46392            9057         3008
        349         35191            8531         3017
        350         34044            7979         2891
        351         28886            7406         3956
        352         28298            8142         2859
        353         35924            9749         2908
        354         34113            9984         2842
        355         32154            7614         3903
        356         37494            6400         2841
        357         33840            9868         2958
        358         35419            9474         2905
        359         31226            9380         2807
        360         27832           11305         2884
        361         29758           12146         3182
        362         36486           12188         2856
        363         29839            9426         3356
        364         31364            9236         2822
        365         28925            7959         2859
        366         27071           10733         3203
        367         31601           11095         2845
        368         32217            9705         2911
        369         30996           10579         2875
        370         28601           11256         2847
        371         36085           10233         2900
        372         30499            8688         2834
        373         29463            7959         2827
        374         38513            6706         2916
        375         33637            8854         2855
        376         34138            7110         2885
        377         45938            7675         2955
        378         28908            8050         2961
        379         37187            7417         3357
        380         25972            7348         2963
        381         33882            8455         2899
        382         31774            7595         2931
        383         33734            7109         2837
        384         29758           10406         2875
        385         36714           10088         2845
        386         43275            8549         2883
        387         28956            8214         2901
        388         35825            9114         2906
        389         31610           11375         2914
        390         34359           10913         2864
        391         31062            7925         2855
        392         31215            8821         2971
        393         30582            9713         2915
        394         27852            6861         2861
        395         28107            7516         2913
        396         30050            9439         2928
        397         28491            9127         2875
        398         30229           10181         2986
        399         32748            9245         2967
        400         28532            7358         2876
        401         31412            9383         2928
        402         31383           10575         2905
        403         33762            9767         2983
        404         34968           10701         2875
        405         38933           10106         2816
        406         31842            8664         2873
        407         33095            8984         2824
        408         25900            7010         2890
        409         31706            9882         2829
        410         35794            9121         3339
        411         35965            7042         2840
        412         32343            7790         2918
        413         36877            7344         3964
        414         31641            7149         2983
        415         33527            9978         2844
        416         38413            7821         2931
        417         33685            7816         2939
        418         27021            8390         2853
        419         30450            7001         2903
        420         37238            7585         2857
        421         39374            7254         2879
        422         38692            7115         3709
        423         32971            7618         2924
        424         39956            6904         2834
        425         34062            7248         2832
        426         39895            7570         2917
        427         31744            8438         3001
        428         35676            8217         2843
        429         35696            9200         2961
        430         27949           13717         2967
        431         28683           10436         2812
        432         41677            8326         2832
        433         33206            7034         2920
        434         38138            8319         3002
        435         30986            7982         3049
        436         32466            7895         2825
        437         31173           10671         2844
        438         36095            9456         2904
        439         35968           12038         2859
        440         42480            9185         2881
        441         29438           10769         2857
        442         31588           10517         2849
        443         33248            9949         2849
        444         33414           11296         2958
        445         31890            7826         2864
        446         44232            7615         3228
        447         29382            9548         2934
        448         30036            9466         2964
        449         38934            7482         2926
        450         32041            7351         3078
        451         31076            8790         2852
        452         38038            9179         2907
        453         26923            9195         2866
        454         30679            8384         2849
        455         28708            6708         2826
        456         44318           10930         3044
        457         33362            9688         2831
        458         35362            8322         3966
        459         30983           10181         2817
        460         34812            6939         2892
        461         29852            9432         2861
        462         29601            7154         3333
        463         28278            8391         2865
        464         31183            7738         3374
        465         35790            8144         2846
        466         33139            9424         3174
        467         33246            7750         2838
        468         30124            7922         2836
        469         28554            9968         2898
        470         34663            9019         2927
        471         26743            7450         2931
        472         32494            7663         2835
        473         33550            7140         4126
        474         27254            7396         2857
        475         33823            7912         2912
        476         30832            7810         2862
        477         31448            7872         2852
        478         31709            8548         3804
        479         39707            8749         2830
        480         32714            7775         2927
        481         27165            7579         2826
        482         33841            8614         2841
        483         28002            8068         2831
        484         36682            8939         2896
        485         34090            8143         2839
        486         28845            9331         2877
        487         29835           10463         2856
        488         34775            9485         3820
        489         31657            9936         2967
        490         38108            7670         2831
        491         33361            8517         2862
        492         28194           13904         2855
        493         34176           10831         2922
        494         40079           11629         2833
        495         41797            9042         2834
        496         34119            8208         2835
        497         36085            6861         2902
        498         28670            7935         2914
        499         37560           10136         2846
        500         37494            7445         2845
        501         32484           10100         2867
        502         30622            6860         2928
        503         29681            9067         2844
        504         36636            8419         2949
        505         32775            9936         2850
        506         33599            9436         2876
        507         30202            7685         2863
        508         27867            9112         2920
        509         32086            7497         2839
        510         31798            7272         2959
        511         36583            8232         2855
        512         29868            9944         2871
        513         32707            9580         2893
        514         34131           11270         2910
        515         28478            8756         2892
        516         27517            9495         2803
        517         33161            9225         2920
        518         28097            6833         2898
        519         29203            6807         2841
        520         35758            7368         2867
        521         32168            8576         2949
        522         34729            8875         3020
        523         33893            9692         2936
        524         34088            8219         2800
        525         36871            6906         2983
        526         31513            7293         2928
        527         28019            9286         2861
        528         28472            8345         2907
        529         35300            8689         3004
        530         32521            7938         2827
        531         35575            7643         2894
        532         28436            7137         2824
        533         26559           10532         2894
        534         28249            8622         2852
        535         28198            8158         2826
        536         35788            7999         2926
        537         33972            8576         2890
        538         37038            9878         3685
        539         33076            7248         2923
        540         30359            7480         2869
        541         32276           10424         3363
        542         27224            7423         2868
        543         34041            8823         3022
        544         35581           10328         3355
        545         33776            7192         2846
        546         30800            6626         2921
        547         32805            8961         2947
        548         31578            8412         3090
        549         33896            7514         3001
        550         30316            9986         2926
        551         33742            9116         2829
        552         27495            9762         2825
        553         30436           10385         3801
        554         26367            9900         2932
        555         30295            7539         3140
        556         38497            7822         2844
        557         28864            8061         3006
        558         37601           10159         2962
        559         35260           10343         2829
        560         34703            9617         2878
        561         28544            8013         2916
        562         30535            7535         2816
        563         29837            9695         2929
        564         35669            9319         2847
        565         33018            7828         2862
        566         33200            7730         3970
        567         35554           11455         2826
        568         29470            8892         2818
        569         29606            7330         2873
        570         29663            7876         2854
        571         37522            6683         2862
        572         33278            7042         3768
        573         36308            9583         2830
        574         30135            6967         2850
        575         38636            7585         3877
        576         34143            7480         2804
        577         27253            7503         2837
        578         39615           10840         2921
        579         33003           10049         2821
        580         30458           10181         3705
        581         32984           11784         2843
        582         39245           12741         2931
        583         32911           11554         4468
        584         34836            7232         2885
        585         33403            7791         2795
        586         33510            7468         2902
        587         32508            8219         2888
        588         35486            9250         2874
        589         33283            9231         2829
        590         34320            9121         2855
        591         28791            9699         2834
        592         34575            7607         4023
        593         33177           10342         2932
        594         25964            8133         2861
        595         32096            7764         3946
        596         34958            6900         2890
        597         49693            7622         2952
        598         30722            9902         2847
        599         35690            9548         2909
        600         34239            8643         3623
        601         38627            9593         2826
        602         27265           10168         2895
        603         28578           10503         2823
        604         30008            7212         2917
        605         33149            9442         2892
        606         31714           11062         4229
        607         32796            7187         2843
        608         32178            7275         2820
        609         31900            7183         2858
        610         25969           12164         2845
        611         32994           13025         2886
        612         26572           10103         2991
        613         33174            8658         2852
        614         29825            7714         3108
        615         33546            8636         2844
        616         30328            9009         2928
        617         32057            9000         3034
        618         26857            9697         2857
        619         26830            7895         3792
        620         26387            7385         3014
        621         34658           10193         2906
        622         28703           10574         2849
        623         31998            7570         2825
        624         37322            9608         2892
        625         30788            7640         3078
        626         31598            6876         2868
        627         32670            8779         2972
        628         31517            9860         2878
        629         32378           10356         2887
        630         30063            8066         2870
        631         32388            8858         2847
        632         38419            7585         2840
        633         37193            7375         2902
        634         31286            7371         2860
        635         30383            7731         2857
        636         39486            7137         2815
        637         31850           10920         2806
        638         44888           10338         2876
        639         28947           11585         3266
        640         26867           12016         2876
        641         28029            9846         3066
        642         31045            7423         2853
        643         33644            8070         2934
        644         34281            7330         2876
        645         25801            7252         2836
        646         34186            8266         2810
        647         36811           10304         2913
        648         30696            8895         2977
        649         37051            8384         2859
        650         31100            8397         2958
        651         27326            8623         2896
        652         33750            8197         2849
        653         31162            8216         2909
        654         36645           11551         2849
        655         32319            9834         2834
        656         38541           10025         3879
        657         31913           10284         2884
        658         32757            8132         2974
        659         31181            9290         3050
        660         32116            9319         2840
        661         26515            8360         2926
        662         44155            9518         2842
        663         39310            9740         2882
        664         33915            7907         3177
        665         32464            7659         2841
        666         34308            6898         2852
        667         30961            8225         2969
        668         33523            8097         2818
        669         33608            8902         2807
        670         40818            6959         3999
        671         29139            6657         2850
        672         33078            7481         2961
        673         36226            8462         2879
        674         31804           10551         2851
        675         32157            7841         2989
        676         33489            7456         2825
        677         30527            7142         4164
        678         36458            6683         3851
        679         29712            7736         2939
        680         27753            7674         2812
        681         32348            9170         2954
        682         29450            7836         3113
        683         35088            8944         2838
        684         33746            9546         3070
        685         31510            9118         2853
        686         37109            8007         2833
        687         27996            9838         2799
        688         30825            7897         2803
        689         28383            7662         3475
        690         31586            6841         3156
        691         30340            8238         2926
        692         32847            9373         2888
        693         35745            7712         2920
        694         32712            7511         2910
        695         31427           10068         2874
        696         33071            7507         2976
        697         41872            9223         2931
        698         30204            7765         2884
        699         41355            8438         3292
        700         28797            7696         2935
        701         39997            9050         3174
        702         30448            9916         2868
        703         30574            8326         2870
        704         27625            7425         2896
        705         35188            7907         2837
        706         29031            8056         2924
        707         32429            7958         3032
        708         40456           11095         2957
        709         33684           13318         2846
        710         36185           10025         2822
        711         28887            8328         2845
        712         26869           10413         2903
        713         31030            9167         2860
        714         35519            7320         2893
        715         33633            8240         2850
        716         32029            7653         3647
        717         30566            7532         2989
        718         33758            6821         3221
        719         36639            8250         3316
        720         28964           10250         2859
        721         31677            9227         2908
        722         35703           12059         3921
        723         30460            9721         2879
        724         33331            7317         2842
        725         30309            9249         3598
        726         32494            9659         2844
        727         29734            9250         2875
        728         32457            9509         3150
        729         32037            8859         2854
        730         31762            9200         2934
        731         35886            7844         3480
        732         36305            7347         2951
        733         38340            8347         2826
        734         34122            9642         2912
        735         26715            9470         3566
        736         26395            8430         2876
        737         34378            6843         3103
        738         34085           10307         2861
        739         32501            7907         3024
        740         29763            8523         2862
        741         34787            6596         2900
        742         27950            8365         3773
        743         33995            7423         2850
        744         29958            9298         2875
        745         33699           10143         3471
        746         35649            8505         2854
        747         38996            6646         2809
        748         26134            8827         2947
        749         36879            9334         2893
        750         36808           10096         2842
        751         29580           12677         2897
        752         36110           11344         3243
        753         27836           10878         2847
        754         28635            7957         3045
        755         36457            9682         3091
        756         26934            9858         2897
        757         26574            9498         2887
        758         36576            9762         2838
        759         32914            9426         2894
        760         26553           12505         2976
        761         48851            8513         3361
        762         29147            8704         2847
        763         36087            6830         2850
        764         31738            6981         2903
        765         28304            8632         2832
        766         28528            6963         2856
        767         28634            7591         2842
        768         27652            7429         3153
        769         29611           13478         2843
        770         31519            9591         3948
        771         37633           10492         2840
        772         29766            8730         2929
        773         31040            9064         2844
        774         29635           10534         2915
        775         34927            9244         2934
        776         26580            9595         2848
        777         33602           10103         2884
        778         33087            8946         2895
        779         33349            8263         2975
        780         32894            7867         2975
        781         32370            6494         2866
        782         35525            6843         2838
        783         32444            8480         2927
        784         31820           10776         2868
        785         37070            8972         3187
        786         30512            7437         3094
        787         34564            7587         2814
        788         26640            9167         2929
        789         38993           10181         3089
        790         38245            8207         2823
        791         29405            7343         2817
        792         31597            6824         2946
        793         31578            7395         2956
        794         29425            7912         2877
        795         34610           10503         2820
        796         34490            8385         2982
        797         37772            8079         3008
        798         31136            7072         2917
        799         30564            8451         2845
        800         29867            6947         3248
        801         29843            8576         2886
        802         30007           11855         4104
        803         27480            9640         2849
        804         33780            9856         2962
        805         34697            7212         2901
        806         27335            6908         2871
        807         33650            8436         2963
        808         30561            7698         4094
        809         30785            7234         2852
        810         36906            7208         2912
        811         32904           10892         2960
        812         32030            9761         2864
        813         31522           10693         2878
        814         28510            6925         2841
        815         32443            7824         2958
        816         38621            8396         3013
        817         27225            7280         2939
